,raw,timestamp,user,message,file_ind
0,[09:51] <towlieban> has anyone here run ubuntu under vmware ?,09:51,towlieban, has anyone here run ubuntu under vmware ?,0
1,[09:51] <ubunttvr> usr/lib/opera/plugins/,09:51,ubunttvr, usr/lib/opera/plugins/,1
2,=== mby [i=mby@gandalf.ds5.agh.edu.pl]  has left #ubuntu [],,,,2
3,[09:51] <Hoosteen> hmmm...quite a range of desktop environments people use...lol,09:51,Hoosteen, hmmm...quite a range of desktop environments people use...lol,3
4,"[09:51] <boredandblogging> Hoosteen, gnome myself",09:51,boredandblogging," Hoosteen, gnome myself",4
5,"[09:51] <paiiiiii> Is it possible to get it ""real"" transparant in aterm, now it's showing the background... i want to show the items behind....",09:51,paiiiiii," Is it possible to get it ""real"" transparant in aterm, now it's showing the background... i want to show the items behind....",5
6,"[09:51] <scott__> hey, anyone here use democracyTv? im trying it and can use it fine to download etc, but it won't actually play any of the files it downloads? anyone got any help/suggestions?",09:51,scott__," hey, anyone here use democracyTv? im trying it and can use it fine to download etc, but it won't actually play any of the files it downloads? anyone got any help/suggestions?",6
7,[09:51] <Memener> and whats funny i have been working on this for 3 days now and have gotten no-where,09:51,Memener, and whats funny i have been working on this for 3 days now and have gotten no-where,7
8,[09:51] <Cyrus25801> i used to run XP and went over to ubuntu. It seems that my Internet connection is slower. why would that be,09:51,Cyrus25801, i used to run XP and went over to ubuntu. It seems that my Internet connection is slower. why would that be,8
9,[09:51] <AmaroqWolf> I use gnome too.,09:51,AmaroqWolf, I use gnome too.,9
10,=== bubbz [n=maltyz@a.b6.344a.static.theplanet.com]  has joined #ubuntu,,,,10
11,[09:51] <ubunttvr> *k,09:51,ubunttvr, *k,11
12,"[09:51] <Secion8> Hoosteen, Really comes to personal preferrence",09:51,Secion8," Hoosteen, Really comes to personal preferrence",12
13,=== Dame [n=dame@62.162.51.80]  has joined #ubuntu,,,,13
14,=== finarfin [n=dj_baggi@yk66.internetdsl.tpnet.pl]  has joined #ubuntu,,,,14
15,"[09:52] <dondanielo> Cyrus25801 : lan, wlan, modem?",09:52,dondanielo," Cyrus25801 : lan, wlan, modem?",15
16,=== Yucora [n=simon@213-156-55-143.fastres.net]  has joined #ubuntu,,,,16
17,[09:52] <Cyrus25801> adsl through router,09:52,Cyrus25801, adsl through router,17
18,[09:52] <Hoosteen> very true...i'm just new to this and don't want to install something and hose everything up...lol,09:52,Hoosteen, very true...i'm just new to this and don't want to install something and hose everything up...lol,18
19,=== lissom [n=lissom@64.94.178.99]  has joined #ubuntu,,,,19
20,[09:52] <bubbz> Whats probally the best linux control panel besides webmin for linux,09:52,bubbz, Whats probally the best linux control panel besides webmin for linux,20
21,=== [GuS]  [n=LnX@190.48.103.90]  has joined #ubuntu,,,,21
22,"[09:52] <Jowi> Hoosteen, well, there isn't so many desktop environments to chose from, but a whole lot of good window managers (pekwm is a favourite for me) :)",09:52,Jowi," Hoosteen, well, there isn't so many desktop environments to chose from, but a whole lot of good window managers (pekwm is a favourite for me) :)",22
23,[09:52] <dondanielo> Cyrus25081 : configured your network card as dhcp or static adress?,09:52,dondanielo, Cyrus25081 : configured your network card as dhcp or static adress?,23
24,[09:53] <Hoosteen> ok...lets try this...what's the difference between a desktop environment and a window manager?,09:53,Hoosteen, ok...lets try this...what's the difference between a desktop environment and a window manager?,24
25,=== melon [n=v2@58.179.74.217]  has joined #ubuntu,,,,25
26,[09:53] <Secion8> Any Dual monitor support here for ati radeon 200,09:53,Secion8, Any Dual monitor support here for ati radeon 200,26
27,"[09:53] <AmaroqWolf> I think a window manager is sort of like... a thing that tracks which windows are open and places them on your taskbar, and allows you to alt+tab between them.",09:53,AmaroqWolf," I think a window manager is sort of like... a thing that tracks which windows are open and places them on your taskbar, and allows you to alt+tab between them.",27
28,[09:53] <Cyrus25801> dondanielo: configured as dhcp,09:53,Cyrus25801, dondanielo: configured as dhcp,28
29,[09:53] <melon> how does one install firefox 2 on Dapper? i downloaded the file.. but can't seem to figure out how to install it,09:53,melon, how does one install firefox 2 on Dapper? i downloaded the file.. but can't seem to figure out how to install it,29
30,[09:54] <ubunttvr> i have not install flgrx and google earth is very slow,09:54,ubunttvr, i have not install flgrx and google earth is very slow,30
31,=== lgc [n=lgc@189.146.39.105]  has joined #ubuntu,,,,31
32,=== odneun [n=odneun@host81-153-121-24.range81-153.btcentralplus.com]  has joined #ubuntu,,,,32
33,=== pipegeek [n=ptr@Harkness-130.resnet.brown.edu]  has joined #ubuntu,,,,33
34,=== engwnbie-spaz [n=engwnbie@74.12.54.148]  has joined #ubuntu,,,,34
35,"=== [GuS]  [n=LnX@190.48.103.90]  has left #ubuntu [""Abandonando""]",,,,35
36,=== amiskiwa [n=mdoff@cpc4-cmbg5-0-0-cust753.cmbg.cable.ntl.com]  has joined #ubuntu,,,,36
37,[09:54] <Flannel> !firefox | melon,09:54,Flannel, !firefox | melon,37
38,"[09:54] <ubotu> melon: firefox is the default web-browser on Ubuntu. To install the latest version, see https://help.ubuntu.com/community/FirefoxNewVersion Installing plugins: https://wiki.ubuntu.com/FirefoxPlugins",09:54,ubotu," melon: firefox is the default web-browser on Ubuntu. To install the latest version, see https://help.ubuntu.com/community/FirefoxNewVersion Installing plugins: https://wiki.ubuntu.com/FirefoxPlugins",38
39,=== [GuS]  [n=LnX@unaffiliated/gus/x-663402]  has joined #Ubuntu,,,,39
40,"[09:55] <lgc> Hello, I'm back after an almost-glorious Dapper Drake debut on my machine (I mean, with little collateral damage)! Alas...",09:55,lgc," Hello, I'm back after an almost-glorious Dapper Drake debut on my machine (I mean, with little collateral damage)! Alas...",40
41,[09:55] <AmaroqWolf> How can I reduce my color from 24 bit to 16 bit?,09:55,AmaroqWolf, How can I reduce my color from 24 bit to 16 bit?,41
42,=== marcst [n=puppetma@dyn-83-152-192-130.ppp.tiscali.fr]  has joined #ubuntu,,,,42
43,[09:55] <dondanielo> Cyrus25081  : tried to give it a static adress?,09:55,dondanielo, Cyrus25081  : tried to give it a static adress?,43
44,"[09:56] <Jowi> Hoosteen, a window manager only handles the windows and keybindings normally. a desktop environment icludes the works - window manager, panel, app integration, desktop (with background changer) etc etc.",09:56,Jowi," Hoosteen, a window manager only handles the windows and keybindings normally. a desktop environment icludes the works - window manager, panel, app integration, desktop (with background changer) etc etc.",44
45,[09:56] <Cyrus25801> no i havent,09:56,Cyrus25801, no i havent,45
46,"[09:56] <ompaul> AmaroqWolf, sudo dpkg-reconfigure xserver-xorg and only adjust the settings you want",09:56,ompaul," AmaroqWolf, sudo dpkg-reconfigure xserver-xorg and only adjust the settings you want",46
47,=== Yolmer [n=david@85.8.6.131.se.wasadata.net]  has joined #ubuntu,,,,47
48,[09:56] <Cyrus25801> dondanielo: how do i check what the current ip is,09:56,Cyrus25801, dondanielo: how do i check what the current ip is,48
49,"[09:56] <Jowi> Hoosteen, gnome uses metacity as a window manager by default. it is nicely integrated but it can be replaced.",09:56,Jowi," Hoosteen, gnome uses metacity as a window manager by default. it is nicely integrated but it can be replaced.",49
50,[09:56] <lgc> does anyone know why I ended up with 2 versions of Open Office completely swiped out during the upgrade from Breezy to Dapper?,09:56,lgc, does anyone know why I ended up with 2 versions of Open Office completely swiped out during the upgrade from Breezy to Dapper?,50
51,=== zoli2k [n=kuscsik@217.12.49.42]  has left #ubuntu [],,,,51
52,[09:56] <Wortel> Would someone mind helping me? im new too Kubentu and when i installed my Ati drivers for linux on my machine it works but after i cant go in the Display configuration module...,09:56,Wortel, Would someone mind helping me? im new too Kubentu and when i installed my Ati drivers for linux on my machine it works but after i cant go in the Display configuration module...,52
53,=== xyr [i=greece@freenode/staff/wikimedia.xyrael]  has joined #ubuntu,,,,53
54,=== lissom_ [n=lissom@64.94.178.99]  has joined #ubuntu,,,,54
55,=== Prometheus [n=quant@p54BE5B21.dip.t-dialin.net]  has joined #ubuntu,,,,55
56,"[09:57] <firepig> in iwconfig my connection is showing but I can't acces the web here is a copy of the info. ath0      IEEE 802.11g  ESSID:""2WIRE939""  Nickname:""2WIRE939""",09:57,firepig," in iwconfig my connection is showing but I can't acces the web here is a copy of the info. ath0      IEEE 802.11g  ESSID:""2WIRE939""  Nickname:""2WIRE939""",56
57,[09:57] <firepig>           Mode:Managed  Frequency:2.437 GHz  Access Point: 00:18:3F:32:DB:11,09:57,firepig,           Mode:Managed  Frequency:2.437 GHz  Access Point: 00:18:3F:32:DB:11,57
58,[09:57] <firepig>           Bit Rate:48 Mb/s   Tx-Power:18 dBm   Sensitivity=0/3,09:57,firepig,           Bit Rate:48 Mb/s   Tx-Power:18 dBm   Sensitivity=0/3,58
59,[09:57] <firepig>           Retry:off   RTS thr:off   Fragment thr:off,09:57,firepig,           Retry:off   RTS thr:off   Fragment thr:off,59
60,[09:57] <firepig>           Power Management:off,09:57,firepig,           Power Management:off,60
61,[09:57] <firepig>           Link Quality=45/94  Signal level=-50 dBm  Noise level=-95 dBm,09:57,firepig,           Link Quality=45/94  Signal level=-50 dBm  Noise level=-95 dBm,61
62,[09:57] <firepig>           Rx invalid nwid:1423  Rx invalid crypt:0  Rx invalid frag:0,09:57,firepig,           Rx invalid nwid:1423  Rx invalid crypt:0  Rx invalid frag:0,62
63,[09:57] <firepig>           Tx excessive retries:0  Invalid misc:0   Missed beacon:0,09:57,firepig,           Tx excessive retries:0  Invalid misc:0   Missed beacon:0,63
64,[09:57] <Wortel> and my resolution is set too the size of my tv,09:57,Wortel, and my resolution is set too the size of my tv,64
65,=== Occasus_ [n=occasus@cpc1-hatf1-0-0-cust571.lutn.cable.ntl.com]  has joined #ubuntu,,,,65
66,=== canute [n=canute@193.81-167-3.customer.lyse.net]  has joined #ubuntu,,,,66
67,"[09:57] <Jowi> firepig, use the pastebin",09:57,Jowi," firepig, use the pastebin",67
68,[09:57] <Occasus_> back for some trouble solving! booya,09:57,Occasus_, back for some trouble solving! booya,68
69,"=== canute [n=canute@193.81-167-3.customer.lyse.net]  has left #ubuntu [""Leaving""]",,,,69
70,[09:57] <Secion8> Booya!,09:57,Secion8, Booya!,70
71,"[09:58] <Hoosteen> Jowi, thanks a lot..that helps...some...lol..i'm so new to this i dunno what is what",09:58,Hoosteen," Jowi, thanks a lot..that helps...some...lol..i'm so new to this i dunno what is what",71
72,[09:58] <Occasus_> how is everyone,09:58,Occasus_, how is everyone,72
73,[09:58] <firepig> wishing my wireless was working...,09:58,firepig, wishing my wireless was working...,73
74,"[09:58] <Jowi> Hoosteen, but this is offtopic for this channel - /join #ubuntu-offtopic if you don't need technical help.",09:58,Jowi," Hoosteen, but this is offtopic for this channel - /join #ubuntu-offtopic if you don't need technical help.",74
75,=== nikitis [n=nikitis@24-116-9-62.cpe.cableone.net]  has joined #Ubuntu,,,,75
76,[09:58] <Occasus_> firepig: whats up?,09:58,Occasus_, firepig: whats up?,76
77,"[09:58] <lgc> ompaul, you're an expert in installation problems...",09:58,lgc," ompaul, you're an expert in installation problems...",77
78,[09:58] <Hoosteen> kk..i'll hop over there :),09:58,Hoosteen, kk..i'll hop over there :),78
79,[09:58] <bayle> !paste,09:58,bayle, !paste,79
80,[09:58] <ubotu> pastebin is a service to post large texts so you don't flood the channel. The Ubuntu pastebin is at http://paste.ubuntu-nl.org (be sure to give the URL of your paste - see also the #ubuntu channel topic),09:58,ubotu, pastebin is a service to post large texts so you don't flood the channel. The Ubuntu pastebin is at http://paste.ubuntu-nl.org (be sure to give the URL of your paste - see also the #ubuntu channel topic),80
